code,stock_name,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.300910,瑞丰新材,2023-10-24,2023-09-30,5.750836,4.753083,3.756607,-0.312106,0.144132,1.168405
sz.300911,亿田智能,2023-10-26,2023-09-30,2.844154,2.628639,2.319773,-0.232637,0.253128,1.338918
sz.300912,凯龙高科,2023-10-28,2023-09-30,0.951562,0.664514,0.161791,0.287767,0.531818,2.135923
sz.300913,兆龙互连,2023-10-27,2023-09-30,5.188215,3.818519,1.426230,-0.322475,0.133878,1.154572
sz.300915,海融科技,2023-10-24,2023-09-30,9.609793,8.546401,8.093857,0.226156,0.107893,1.120942
sz.300916,朗特智能,2023-10-26,2023-09-30,3.349029,3.095220,2.285086,-0.019096,0.279791,1.388486
sz.300917,特发服务,2023-10-26,2023-09-30,2.389187,2.378410,1.094142,0.282926,0.392094,1.644991
sz.300918,南山智尚,2023-10-27,2023-09-30,1.924651,1.225313,0.804961,0.064372,0.432214,1.761226
sz.300919,中伟股份,2023-10-25,2023-09-30,2.028289,1.486702,0.814867,0.189493,0.574528,2.350329
sz.300920,润阳科技,2023-10-25,2023-09-30,4.713522,4.255741,3.458780,-0.244643,0.135431,1.156646
sz.300921,南凌科技,2023-10-28,2023-09-30,6.411729,6.276168,4.972756,0.307448,0.161475,1.192571
sz.300922,天秦装备,2023-10-28,2023-09-30,9.036122,8.349813,6.746492,0.530491,0.087264,1.095607
sz.300923,研奥股份,2023-10-25,2023-09-30,6.600004,5.761835,2.604085,-0.234696,0.123414,1.140789
sz.300925,法本信息,2023-10-27,2023-09-30,3.880379,3.797161,1.739556,0.430197,0.426961,1.745083
sz.300926,博俊科技,2023-10-26,2023-09-30,1.179729,0.828251,0.272845,1.489907,0.704401,3.382962
sz.300927,江天化学,2023-10-20,2023-09-30,3.586808,3.227279,2.413955,0.523155,0.266952,1.364168
sz.300928,华安鑫创,2023-10-28,2023-09-30,18.811398,18.166849,8.325901,0.538719,0.064662,1.069132
sz.300929,华骐环保,2023-10-28,2023-09-30,1.516734,1.397051,0.282368,0.032632,0.524220,2.101811
sz.300930,屹通新材,2023-10-25,2023-09-30,5.104860,4.266832,1.127604,1.855138,0.108583,1.121809
sz.300931,通用电梯,2023-10-25,2023-09-30,1.762321,1.330060,0.580530,0.269707,0.418479,1.719629
sz.300932,三友联众,2023-10-27,2023-09-30,1.609172,1.249385,0.221666,0.127261,0.385542,1.627450
