code,stock_name,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.603350,安乃达,2024-10-19,2024-09-30,0.082667,1.750350,0.662018,1.004588,0.071015,0.909802,1.197813,0.065165
sh.603351,威尔药业,2024-10-24,2024-09-30,0.069376,1.400569,0.438916,1.016807,0.110991,0.862505,0.929247,0.138482
sh.603353,和顺石油,2024-10-31,2024-09-30,0.025995,1.305463,0.983013,1.001592,0.020224,0.736076,0.926215,0.029665
sh.603355,莱克电气,2024-10-29,2024-09-30,0.179187,2.638967,0.559930,0.998350,0.121467,0.897843,1.133667,0.119336
sh.603356,华菱精工,2024-10-31,2024-09-30,-0.086571,2.690400,0.502602,0.900405,-0.071104,0.854315,1.277949,-0.065127
sh.603357,设计总院,2024-10-30,2024-09-30,0.090094,1.871854,0.351015,0.980833,0.139799,0.866492,0.999654,0.161395
sh.603358,华达科技,2024-10-31,2024-09-30,0.059889,1.960604,0.539898,0.850030,0.066559,0.836117,0.989719,0.080432
sh.603359,东珠生态,2024-10-30,2024-09-30,0.003950,2.391286,0.046300,1.064762,0.033507,0.908993,3.476581,0.010603
sh.603360,百傲化学,2024-10-30,2024-09-30,0.152652,1.178200,0.456458,1.000000,0.283847,0.886619,1.029439,0.310990
sh.603363,*ST傲农,2024-10-31,2024-09-30,,-9.143548,0.544468,0.859202,-0.137643,1.036513,1.571131,-0.084521
sh.603365,水星家纺,2024-10-29,2024-09-30,0.072225,1.242500,0.743720,1.000000,0.078160,0.840794,1.031392,0.090130
sh.603366,日出东方,2024-10-29,2024-09-30,0.016860,1.790139,0.457791,1.138375,0.018073,0.817722,0.992430,0.022270
sh.603367,辰欣药业,2024-10-29,2024-09-30,0.068852,1.281026,0.405317,0.987026,0.134350,0.918918,1.055220,0.138554
sh.603368,柳药集团,2024-10-30,2024-09-30,0.099365,2.928063,0.758096,0.960256,0.046617,0.870271,0.864626,0.061952
sh.603369,今世缘,2024-10-31,2024-09-30,0.217174,1.548942,0.451711,1.000000,0.310393,0.750250,1.022738,0.404522
sh.603373,安邦护卫,2024-10-30,2024-09-30,0.049715,1.974196,0.564926,0.465834,0.095691,0.712282,1.052035,0.127700
sh.603375,盛景微,2024-10-30,2024-09-30,0.016581,1.190429,0.251618,1.592223,0.034767,0.895677,1.223466,0.031727
sh.603377,ST东时,2024-10-31,2024-09-30,-0.062046,2.623475,0.142031,0.838576,-0.198568,0.990043,1.851439,-0.108329
sh.603378,亚士创能,2024-10-31,2024-09-30,-0.010968,3.832500,0.265338,1.000000,-0.010786,0.467441,-1.181692,0.019526
sh.603379,三美股份,2024-10-29,2024-09-30,0.092578,1.132814,0.442870,1.003135,0.183956,0.790363,1.103089,0.210998
sh.603380,易德龙,2024-10-30,2024-09-30,0.099032,1.645189,0.673071,0.980764,0.091187,0.828071,0.945338,0.116487
sh.603381,永臻股份,2024-10-31,2024-09-30,0.060953,2.909017,0.673471,1.000000,0.031112,1.255652,0.714084,0.034698
sh.603383,顶点软件,2024-10-29,2024-09-30,0.069685,1.226427,0.236085,1.019926,0.235971,1.028642,1.135477,0.202030
sh.603385,惠达卫浴,2024-10-25,2024-09-30,0.025300,1.576734,0.424969,1.090701,0.034618,0.791680,0.966766,0.045230
sh.603386,骏亚科技,2024-10-28,2024-09-30,-0.009928,2.306892,0.508220,0.986827,-0.008581,0.502287,5.867081,-0.002912
sh.603387,基蛋生物,2024-10-31,2024-09-30,0.078472,1.494761,0.228337,0.969167,0.237229,0.910085,1.099183,0.237146
sh.603388,ST元成,2024-10-31,2024-09-30,-0.073354,2.659166,0.034054,0.926683,-0.874134,0.814542,1.180888,-0.908774
sh.603389,亚振家居,2024-10-30,2024-09-30,-0.152498,1.772066,0.244998,0.964244,-0.364280,0.994302,1.024734,-0.357524
sh.603390,通达电气,2024-10-30,2024-09-30,0.010554,1.135095,0.227050,1.066172,0.038410,0.916593,1.347179,0.031106
sh.603391,力聚热能,2024-10-30,2024-09-30,0.092802,1.783645,0.217417,1.000000,0.239307,0.861975,1.044843,0.265711
sh.603392,万泰生物,2024-10-25,2024-09-30,0.021227,1.212171,0.127936,0.985814,0.138845,1.098857,1.227714,0.102918
sh.603393,新天然气,2024-10-30,2024-09-30,0.116345,2.109935,0.185352,0.972416,0.305936,0.733128,0.926349,0.450481
sh.603395,红四方,2024-11-07,2024-09-30,0.113935,2.200852,1.233783,0.977105,0.042942,0.885792,0.961096,0.050441
sh.603396,金辰股份,2024-10-26,2024-09-30,0.033398,2.773762,0.334952,0.846538,0.042464,0.759432,0.965177,0.057933
sh.603398,沐邦高科,2024-10-30,2024-09-30,-0.183569,3.643134,0.100858,0.994207,-0.502504,1.041536,1.103207,-0.437329
sh.603399,永杉锂业,2024-10-31,2024-09-30,0.028122,2.126616,1.235584,0.823275,0.013000,0.763105,0.786622,0.021656
sh.603408,建霖家居,2024-10-26,2024-09-30,0.124006,1.494590,0.790058,1.001280,0.104883,0.884567,1.009585,0.117444
sh.603416,信捷电气,2024-10-31,2024-09-30,0.079611,1.380077,0.400720,1.000160,0.143932,0.911682,1.011022,0.156154
sh.603421,鼎信通讯,2024-10-25,2024-09-30,-0.008401,1.651460,0.403253,1.000000,-0.012615,0.866498,2.045318,-0.007118
sh.603429,集友股份,2024-10-30,2024-09-30,-0.038294,1.196034,0.241383,1.012038,-0.131064,1.332291,0.782126,-0.125779
sh.603439,贵州三力,2024-10-29,2024-09-30,0.126348,1.945689,0.484061,0.976601,0.137365,0.852169,0.973925,0.165511
sh.603444,吉比特,2024-10-25,2024-09-30,0.142946,1.451209,0.422210,0.802820,0.290599,0.860018,1.067105,0.316650
sh.603456,九洲药业,2024-10-25,2024-09-30,0.074176,1.285137,0.362778,0.996878,0.159599,0.847521,1.081892,0.174059
sh.603458,勘设股份,2024-10-31,2024-09-30,-0.028506,2.002802,0.140561,0.966696,-0.104749,0.907168,1.462305,-0.078963
sh.603466,风语筑,2024-10-30,2024-09-30,-0.049942,2.030952,0.201204,0.999998,-0.122217,0.831481,1.024574,-0.143461
sh.603477,巨星农牧,2024-10-31,2024-09-30,0.081426,2.549785,0.486788,0.976718,0.067166,0.998585,0.639205,0.105227
sh.603486,科沃斯,2024-10-30,2024-09-30,0.090990,1.973136,0.766750,1.000238,0.060128,0.905549,1.101516,0.060280
sh.603488,展鹏科技,2024-10-31,2024-09-30,-0.013749,1.381271,0.172561,0.713942,-0.080796,0.852688,1.020243,-0.092874
sh.603489,八方股份,2024-10-31,2024-09-30,0.019030,1.207347,0.311416,1.000000,0.050613,1.069851,1.608678,0.029408
sh.603496,恒为科技,2024-10-30,2024-09-30,0.056645,1.568063,0.406537,0.999955,0.088862,0.927380,0.969780,0.098806
sh.603499,翔港科技,2024-10-18,2024-09-30,0.047996,1.882275,0.448550,0.738504,0.076977,0.936617,0.848685,0.096839
sh.603500,祥和实业,2024-10-31,2024-09-30,0.039938,1.289371,0.399121,1.036764,0.074856,0.803683,1.142068,0.081554
sh.603501,韦尔股份,2024-10-26,2024-09-30,0.107710,1.726230,0.496702,1.003783,0.125148,0.911178,0.995718,0.137938
sh.603505,金石资源,2024-10-29,2024-09-30,0.152305,3.511750,0.317013,0.940816,0.145415,0.867162,0.856446,0.195799
sh.603506,南都物业,2024-10-26,2024-09-30,0.052773,2.247138,0.520841,0.890183,0.050652,0.855091,0.985947,0.060080
sh.603507,振江股份,2024-10-31,2024-09-30,0.067217,2.589293,0.455475,0.979552,0.058184,0.824317,0.659313,0.107058
sh.603508,思维列控,2024-10-29,2024-09-30,0.071655,1.093666,0.181099,0.967772,0.373830,0.858926,1.086902,0.400431
sh.603511,爱慕股份,2024-10-30,2024-09-30,0.031744,1.177222,0.435282,1.008033,0.061454,0.942931,0.988904,0.065905
sh.603515,欧普照明,2024-10-30,2024-09-30,0.094610,1.465315,0.526619,0.997379,0.122928,0.815674,1.086590,0.138697
sh.603516,淳中科技,2024-10-26,2024-09-30,0.042310,1.240467,0.216205,1.055436,0.149470,0.976268,0.945193,0.161981
sh.603517,绝味食品,2024-10-25,2024-09-30,0.064642,1.337779,0.552612,1.037142,0.084309,0.659193,0.966530,0.132327
sh.603518,锦泓集团,2024-10-30,2024-09-30,0.047128,1.631829,0.522206,1.000000,0.055305,0.757928,0.825786,0.088363
sh.603519,立霸股份,2024-10-25,2024-09-30,0.080365,1.249947,0.715271,1.000000,0.089889,0.798528,1.091652,0.103117
sh.603520,司太立,2024-10-31,2024-09-30,0.004062,2.577970,0.316799,0.970878,0.005123,0.624550,0.192828,0.042541
sh.603527,众源新材,2024-10-22,2024-09-30,0.046950,1.817353,1.873408,1.019482,0.013527,0.859389,0.832232,0.018913
sh.603528,多伦科技,2024-10-30,2024-09-30,0.021192,1.281255,0.166587,1.268150,0.078295,0.888089,0.989826,0.089067
sh.603529,爱玛科技,2024-10-26,2024-09-30,0.189040,2.664363,0.797582,0.986119,0.090210,0.862685,1.135849,0.092063
sh.603530,神马电力,2024-10-25,2024-09-30,0.129646,1.291911,0.416769,1.000000,0.240786,0.850826,0.982568,0.288023
sh.603533,掌阅科技,2024-10-31,2024-09-30,-0.014671,1.321426,0.576752,1.066797,-0.018045,1.030866,2.617341,-0.006688
sh.603535,嘉诚国际,2024-10-26,2024-09-30,0.065971,1.785386,0.217995,0.999722,0.169550,0.852896,0.839380,0.236833
sh.603536,惠发食品,2024-10-26,2024-09-30,-0.060043,3.065627,0.903345,0.984493,-0.022023,0.987713,2.188523,-0.010188
sh.603538,美诺华,2024-10-30,2024-09-30,0.029644,2.118196,0.209995,0.934104,0.071345,0.820758,0.877090,0.099108
sh.603551,奥普科技,2024-10-29,2024-09-30,0.126231,1.550404,0.562647,0.985097,0.146895,0.859676,1.111040,0.153795
sh.603556,海兴电力,2024-10-23,2024-09-30,0.117154,1.346667,0.374783,1.000518,0.232001,0.842687,1.129391,0.243770
sh.603557,ST起步,2024-10-31,2024-09-30,-1.719242,26.178957,0.209357,0.992631,-0.316016,1.003127,1.287028,-0.244774
sh.603558,健盛集团,2024-10-24,2024-09-30,0.107614,1.513360,0.519699,1.000000,0.136827,0.851529,0.945835,0.169886
sh.603559,*ST通脉,2024-10-30,2024-09-30,-1.118205,14.498189,0.222921,0.999168,-0.346273,0.997025,1.044643,-0.332464
sh.603565,中谷物流,2024-10-31,2024-09-30,0.105458,2.275947,0.352873,0.996728,0.131742,0.748964,0.956072,0.183981
sh.603566,普莱柯,2024-10-30,2024-09-30,0.039628,1.184569,0.239792,1.000000,0.139512,0.907403,1.014643,0.151530
sh.603567,珍宝岛,2024-10-30,2024-09-30,0.051968,1.644243,0.161265,1.003276,0.195346,0.903682,0.835747,0.258651
sh.603568,伟明环保,2024-10-26,2024-09-30,0.177495,2.143776,0.237135,0.970368,0.359812,0.891624,0.951926,0.423927
sh.603569,长久物流,2024-10-30,2024-09-30,0.020723,2.015236,0.489203,0.720406,0.029178,1.134200,0.623692,0.041247
sh.603577,汇金通,2024-10-31,2024-09-30,0.056797,3.314315,0.528715,0.960567,0.033743,0.872038,0.561350,0.068931
sh.603578,三星新材,2024-10-31,2024-09-30,0.025666,3.100041,0.206797,2.586921,0.015476,0.547423,0.620001,0.045598
sh.603579,荣泰健康,2024-10-30,2024-09-30,0.072883,1.737351,0.342733,0.998041,0.122640,0.906133,1.060861,0.127580
sh.603580,艾艾精工,2024-10-31,2024-09-30,0.013380,1.209981,0.244140,1.250133,0.036231,1.003957,0.898377,0.040171
sh.603583,捷昌驱动,2024-10-29,2024-09-30,0.069069,1.565705,0.386372,1.008768,0.113182,0.883719,1.001791,0.127846
sh.603585,苏利股份,2024-10-29,2024-09-30,0.003455,2.298597,0.288410,1.029485,0.005062,0.479872,0.398290,0.026487
sh.603586,金麒麟,2024-10-26,2024-09-30,0.030272,1.175086,0.465148,1.000000,0.055384,0.813980,1.053073,0.064612
sh.603587,地素时尚,2024-10-30,2024-09-30,0.075571,1.244061,0.351301,1.000000,0.172916,0.749461,1.076879,0.214249
sh.603588,高能环境,2024-10-25,2024-09-30,0.059421,2.891972,0.419422,0.865822,0.056581,0.928938,0.683407,0.089125
sh.603589,口子窖,2024-10-29,2024-09-30,0.131664,1.267350,0.345728,1.000000,0.300495,0.753303,1.002052,0.398087
sh.603590,康辰药业,2024-10-30,2024-09-30,0.036069,1.241446,0.166213,0.914608,0.191121,0.856540,1.037286,0.215111
sh.603595,东尼电子,2024-10-26,2024-09-30,-0.027827,3.501093,0.267849,0.439796,-0.067472,0.783501,6.002659,-0.014346
sh.603596,伯特利,2024-10-30,2024-09-30,0.130958,1.860807,0.595036,0.986798,0.119856,0.876864,1.041348,0.131259
sh.603598,引力传媒,2024-10-31,2024-09-30,0.093977,6.744470,3.166287,1.000000,0.004401,0.558294,0.868240,0.009079
sh.603599,广信股份,2024-10-29,2024-09-30,0.060531,1.636177,0.224836,1.008104,0.163222,0.881802,1.304675,0.141875
sh.603600,永艺股份,2024-10-26,2024-09-30,0.103635,1.697455,0.920528,0.977968,0.067818,0.947376,1.055187,0.067841
sh.603601,再升科技,2024-10-26,2024-09-30,0.041139,1.415383,0.350528,0.891640,0.092996,0.889416,0.882827,0.118436
sh.603602,纵横通信,2024-10-30,2024-09-30,0.027604,2.510947,0.695337,0.541950,0.029173,0.929910,0.714426,0.043911
sh.603605,珀莱雅,2024-10-25,2024-09-30,0.217385,1.610047,0.941283,0.977319,0.146769,0.816528,1.033980,0.173841
sh.603606,东方电缆,2024-10-24,2024-09-30,0.141217,1.704404,0.595441,1.000000,0.139148,0.859370,1.015241,0.159487
sh.603607,京华激光,2024-10-29,2024-09-30,0.070088,1.573861,0.393235,0.998122,0.113459,0.985563,1.024736,0.112342
sh.603608,*ST天创,2024-10-31,2024-09-30,-0.025358,1.593281,0.414230,1.008749,-0.038088,0.936090,1.735846,-0.023440
sh.603609,禾丰股份,2024-10-30,2024-09-30,0.043160,2.255831,1.588846,1.092511,0.011022,0.801179,0.725203,0.018971
sh.603610,麒盛科技,2024-10-26,2024-09-30,0.047736,1.515665,0.463055,1.005011,0.067677,0.828731,1.009002,0.080935
sh.603611,诺力股份,2024-10-31,2024-09-30,0.131308,3.290516,0.566071,1.007608,0.069962,0.855625,0.958994,0.085264
sh.603612,索通发展,2024-10-24,2024-09-30,0.039628,3.220624,0.563457,0.633663,0.034463,0.832808,0.737529,0.056108
sh.603613,国联股份,2024-10-30,2024-09-30,0.159859,2.228320,3.010404,0.826092,0.028847,0.790724,0.960640,0.037977
sh.603615,茶花股份,2024-10-23,2024-09-30,-0.012583,1.241494,0.284843,1.000000,-0.035582,0.842208,0.571621,-0.073910
sh.603616,韩建河山,2024-10-31,2024-09-30,-0.100230,4.381308,0.221699,1.000073,-0.103181,0.855938,1.211650,-0.099490
