code,stock_name,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.300294,博雅生物,2024-10-25,2024-09-30,0.055393,0.331242,0.666657,412432277.860000,0.369067,,504248738.00,425940163.00
sz.300295,三六五网,2024-10-23,2024-09-30,-0.006954,-0.077814,0.713484,-7567973.850000,-0.565514,,190824714.00,167548624.00
sz.300296,利亚德,2024-10-24,2024-09-30,0.021931,0.033319,0.276673,182078336.960000,0.002447,,2529396015.00,2090539621.00
sz.300298,三诺生物,2024-10-24,2024-09-30,0.081638,0.085363,0.552272,271627606.540000,0.392919,,564265375.00,455345717.00
sz.300299,富春股份,2024-10-28,2024-09-30,-0.074995,-0.241417,0.268302,-46153383.930000,-0.057200,,691229485.00,689912485.00
sz.300300,ST峡创,2024-10-26,2024-09-30,-0.319973,-0.592725,-0.089105,-52092947.630000,-0.372022,,666847062.00,666804612.00
sz.300301,*ST长方,2024-10-30,2024-09-30,-1.139516,-0.098982,0.260535,-37445050.450000,-0.124659,,790108769.00,789876719.00
sz.300302,同有科技,2024-10-25,2024-09-30,0.023311,0.103206,0.479291,31350079.950000,-0.174583,,479263798.00,368888895.00
sz.300303,聚飞光电,2024-10-26,2024-09-30,0.073443,0.103317,0.248423,228160570.460000,0.208233,,1329965141.00,1240163550.00
sz.300304,云意电气,2024-10-25,2024-09-30,0.109119,0.213351,0.325424,332054398.240000,0.430649,,878143718.00,855606034.00
sz.300305,裕兴股份,2024-10-29,2024-09-30,-0.073956,-0.192458,-0.080998,-163984765.060000,-0.530163,,375399812.00,318497729.00
sz.300306,远方信息,2024-10-24,2024-09-30,0.036050,0.186643,0.643478,55638761.570000,0.352629,,268958778.00,157565464.00
sz.300307,慈星股份,2024-10-30,2024-09-30,0.100328,0.183683,0.315671,327746016.220000,0.388811,,787801776.00,777376734.00
sz.300308,中际旭创,2024-10-23,2024-09-30,0.235087,0.223627,0.333214,3871569380.150000,4.129912,,1121166509.00,1115714558.00
sz.300310,宜通世纪,2024-10-29,2024-09-30,0.012815,0.012713,0.101888,22683579.320000,0.073616,,881658531.00,691740446.00
sz.300311,任子行,2024-10-30,2024-09-30,-0.132894,-0.362531,0.519926,-90160746.980000,-0.157041,,673630150.00,537409093.00
sz.300313,ST天山,2024-10-30,2024-09-30,-1.006699,-0.385082,-0.022782,-40929503.150000,-0.161656,,312977396.00,184221477.00
sz.300314,戴维医疗,2024-10-23,2024-09-30,0.054139,0.157120,0.567801,63307872.060000,0.305984,,288000000.00,189356448.00
sz.300315,掌趣科技,2024-10-30,2024-09-30,0.040650,0.301195,0.775001,195961711.070000,0.075967,,2730752548.00,2594236957.00
sz.300316,晶盛机电,2024-10-25,2024-09-30,0.184973,0.223759,0.355727,3239578826.490000,3.057296,,1309533797.00,1231555433.00
sz.300317,珈伟新能,2024-10-29,2024-09-30,-0.041086,-0.277958,0.265323,-94603426.700000,-0.094941,,830188405.00,828913405.00
sz.300318,博晖创新,2024-10-30,2024-09-30,0.017169,0.069663,0.506512,45007016.930000,-0.018789,,816900495.00,798539484.00
sz.300319,麦捷科技,2024-10-25,2024-09-30,0.056584,0.102869,0.208245,245328839.740000,0.376571,,869179472.00,829756008.00
sz.300320,海达股份,2024-10-26,2024-09-30,0.052062,0.051808,0.180965,121830785.350000,0.258662,,601234191.00,490290337.00
sz.300321,同大股份,2024-10-25,2024-09-30,0.018376,0.041419,0.140940,11464131.610000,0.062685,,88800000.00,88776600.00
sz.300322,硕贝德,2024-10-26,2024-09-30,0.003523,0.000125,0.248048,165241.410000,-0.075543,,465746427.00,445149037.00
sz.300323,华灿光电,2024-10-28,2024-09-30,-0.048910,-0.121775,-0.000533,-359556268.160000,-0.393930,,1616698797.00,751600822.00
sz.300324,旋极信息,2024-10-24,2024-09-30,-0.046767,-0.113844,0.239264,-156510860.940000,-0.161658,,1727590595.00,1708169456.00
sz.300326,凯利泰,2024-10-24,2024-09-30,0.019589,0.094547,0.490517,70932066.810000,0.055000,,717026333.00,716588713.00
sz.300327,中颖电子,2024-10-24,2024-09-30,0.053442,0.055899,0.338229,54647511.170000,0.517620,,341389229.00,339256051.00
sz.300328,宜安科技,2024-10-26,2024-09-30,0.002243,-0.008401,0.126645,-9951748.680000,0.001038,,690423600.00,686367975.00
sz.300329,海伦钢琴,2024-10-25,2024-09-30,-0.017628,-0.127270,0.181636,-15307491.160000,-0.393644,,252888780.00,252114181.00
sz.300331,苏大维格,2024-10-25,2024-09-30,0.023694,0.028354,0.198880,39567229.400000,-0.074051,,259662286.00,200858814.00
sz.300332,天壕能源,2024-10-25,2024-09-30,0.031423,0.043370,0.126070,131644649.860000,0.075408,,853779752.00,818148402.00
sz.300333,兆日科技,2024-10-28,2024-09-30,-0.005080,0.032906,0.582975,3595074.550000,-0.084471,,336000000.00,334780067.00
sz.300334,津膜科技,2024-10-28,2024-09-30,-0.021172,-0.069778,0.281391,-11787779.780000,-0.027638,,302065356.00,302029761.00
sz.300335,迪森股份,2024-10-29,2024-09-30,0.033662,0.117503,0.303131,91376341.670000,0.123660,,477012388.00,384748339.00
sz.300337,银邦股份,2024-10-28,2024-09-30,0.065043,0.028709,0.105045,109398515.140000,0.127668,,821920000.00,711383934.00
sz.300338,*ST开元,2024-10-29,2024-09-30,,-0.279857,0.617749,-39135001.310000,-0.691135,,402624692.00,344546978.00
sz.300339,润和软件,2024-10-25,2024-09-30,0.032505,0.046775,0.258036,112674830.570000,0.221380,,796410841.00,777686667.00
sz.300340,科恒股份,2024-10-29,2024-09-30,-0.544853,-0.071447,0.057949,-113338807.720000,-1.937082,,276465494.00,187445286.00
sz.300341,麦克奥迪,2024-10-24,2024-09-30,0.070558,0.126453,0.423795,125968441.870000,0.331301,,517410336.00,515327661.00
sz.300342,天银机电,2024-10-23,2024-09-30,0.036138,0.076625,0.254673,57582909.050000,0.106362,,425035113.00,417748485.00
sz.300343,联创股份,2024-10-25,2024-09-30,-0.008611,-0.024850,0.091833,-16417183.170000,-0.032205,,1068969119.00,1066219389.00
sz.300344,立方数科,2024-10-24,2024-09-30,-0.145368,-0.233127,0.095546,-51587842.360000,-0.184472,,641706416.00,639211391.00
sz.300345,华民股份,2024-10-28,2024-09-30,-0.237633,-0.289399,-0.123128,-219841109.960000,-0.467056,,577814895.00,443969895.00
sz.300346,南大光电,2024-10-30,2024-09-30,0.113356,0.205049,0.426386,361668641.930000,0.481802,,543165932.00,513355346.00
sz.300347,泰格医药,2024-10-30,2024-09-30,0.038650,0.178217,0.388799,903135476.960000,1.108360,,864948570.00,567385056.00
sz.300348,长亮科技,2024-10-26,2024-09-30,0.002218,0.003845,0.351086,3981634.060000,0.042839,,805058850.00,625708372.00
sz.300349,金卡智能,2024-10-23,2024-09-30,0.068741,0.136546,0.421524,304721678.170000,0.976654,,418337213.00,370430561.00
sz.300350,华鹏飞,2024-10-30,2024-09-30,0.024659,0.088343,0.152736,22564735.530000,-0.001852,,562012279.00,471565417.00
sz.300351,永贵电器,2024-10-26,2024-09-30,0.042754,0.074281,0.290202,101828154.770000,0.288661,,386902011.00,260453922.00
sz.300352,北信源,2024-10-30,2024-09-30,-0.031251,-0.129543,0.728693,-48947189.590000,-0.029556,,1449824087.00,1221943382.00
sz.300353,东土科技,2024-10-25,2024-09-30,-0.073280,-0.273060,0.426201,-154991618.690000,0.431880,,614892881.00,522202547.00
sz.300354,东华测试,2024-10-22,2024-09-30,0.141643,0.278168,0.665488,98521774.550000,0.755223,,138320201.00,81200075.00
sz.300355,蒙草生态,2024-10-25,2024-09-30,0.009681,0.052675,0.258651,62190739.520000,0.010298,,1604242081.00,1366065794.00
sz.300357,我武生物,2024-10-24,2024-09-30,0.119788,0.359469,0.952571,262498098.020000,0.596449,,523584000.00,484064205.00
sz.300358,楚天科技,2024-10-26,2024-09-30,-0.040057,-0.046212,0.259425,-192764547.260000,-0.266736,,590303738.00,567445088.00
sz.300359,全通教育,2024-10-30,2024-09-30,-0.060793,-0.143507,0.252071,-40960360.000000,-0.057892,,633333422.00,633301697.00
sz.300360,炬华科技,2024-10-23,2024-09-30,0.143567,0.349616,0.479555,540565740.670000,1.375663,,513699626.00,499718637.00
sz.300363,博腾股份,2024-10-25,2024-09-30,-0.037153,-0.125569,0.232809,-266863335.560000,-0.717608,,545464520.00,500519517.00
sz.300364,中文在线,2024-10-25,2024-09-30,-0.164604,-0.231166,0.302391,-186793277.880000,-0.138526,,729939618.00,660974348.00
sz.300365,恒华科技,2024-10-25,2024-09-30,0.004685,0.023346,0.317362,7330095.330000,0.021448,,599855469.00,483654367.00
sz.300366,创意信息,2024-10-28,2024-09-30,-0.106165,-0.465176,0.150136,-261593741.170000,-1.026505,,607576150.00,530502490.00
sz.300368,ST汇金,2024-10-26,2024-09-30,-0.084574,-0.196373,0.385368,-31462637.360000,-0.422656,,528943475.00,528943475.00
sz.300369,绿盟科技,2024-10-30,2024-09-30,-0.125799,-0.256071,0.594973,-326235410.910000,-0.974386,,799308527.00,798229068.00
sz.300370,安控科技,2024-10-25,2024-09-30,-0.057601,-0.143044,0.259202,-33546965.840000,-0.073100,,1565376225.00,1324847224.00
sz.300371,汇中股份,2024-10-18,2024-09-30,0.049686,0.206031,0.530626,54234006.290000,0.409186,,201217296.00,135771422.00
sz.300373,扬杰科技,2024-10-23,2024-09-30,0.080319,0.151264,0.310238,669133172.760000,1.794644,,543347787.00,542147860.00
sz.300374,中铁装配,2024-10-24,2024-09-30,-0.078580,-0.055811,0.089965,-66894260.570000,-0.585312,,245912337.00,203424393.00
sz.300375,鹏翎股份,2024-10-30,2024-09-30,0.034791,0.045972,0.203125,77411618.230000,0.079463,,755378818.00,505118725.00
sz.300376,ST易事特,2024-10-30,2024-09-30,0.029456,0.093124,0.329520,215186228.720000,0.081713,,2328240476.00,2327434901.00
sz.300377,赢时胜,2024-10-29,2024-09-30,-0.004655,-0.018749,0.442327,-18518104.410000,0.059886,,751075080.00,642593229.00
sz.300378,鼎捷数智,2024-10-31,2024-09-30,0.024047,0.029442,0.569892,46314589.960000,0.557510,,271392830.00,269612330.00
sz.300379,东方通,2024-10-25,2024-09-30,-0.050210,-0.624259,0.738375,-183319692.140000,-1.169549,,557922828.00,526637564.00
sz.300380,安硕信息,2024-10-30,2024-09-30,0.013621,-0.002065,0.279895,-1127175.020000,-0.050466,,138439050.00,127373543.00
sz.300381,溢多利,2024-10-23,2024-09-30,0.016324,0.072053,0.464344,43840738.670000,0.040107,,490083367.00,488362680.00
sz.300382,斯莱克,2024-10-29,2024-09-30,-0.006931,-0.047985,0.152669,-51855365.020000,0.014011,,628513701.00,628351355.00
sz.300383,光环新网,2024-10-25,2024-09-30,0.028688,0.061298,0.165311,357121933.270000,0.219629,,1797592847.00,1793742765.00
sz.300384,三联虹普,2024-10-29,2024-09-30,0.100742,0.283053,0.430155,265733592.080000,1.065208,,319007265.00,219691177.00
sz.300385,雪浪环境,2024-10-26,2024-09-30,-0.240627,-0.384345,0.097920,-151881345.430000,-0.597887,,333145932.00,289494133.00
sz.300386,飞天诚信,2024-10-28,2024-09-30,-0.014706,-0.045351,0.382397,-22854831.760000,-0.202920,,418044000.00,248215153.00
sz.300387,富邦科技,2024-10-30,2024-09-30,0.067438,0.100797,0.295978,93825192.750000,0.353207,,289057018.00,288956645.00
sz.300388,节能国祯,2024-10-25,2024-09-30,0.060274,0.100368,0.293388,273960072.870000,0.584313,,681042231.00,679087750.00
sz.300389,艾比森,2024-10-18,2024-09-30,0.079017,0.039903,0.281443,108455997.920000,0.580708,,368516912.00,232817516.00
sz.300390,天华新能,2024-10-29,2024-09-30,0.077341,0.204860,0.186199,1117054109.210000,0.915786,,830750788.00,672320420.00
sz.300391,长药控股,2024-10-30,2024-09-30,-1.729531,-2.773201,0.049266,-280105175.880000,-1.914652,,350336112.00,350336112.00
sz.300393,中来股份,2024-10-26,2024-09-30,-0.072457,-0.072673,0.098045,-330218848.660000,-0.239250,,1089627358.00,954068487.00
sz.300394,天孚通信,2024-10-23,2024-09-30,0.276511,0.408287,0.582140,977728383.690000,2.287818,,553911681.00,552743987.00
