code,stock_name,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.300941,创识科技,2024-10-30,2024-09-30,0.979643,0.020357,0.937551,290.778732,-0.580429,-2.871536,-0.580429
sz.300942,易瑞生物,2024-10-29,2024-09-30,0.531859,0.468141,0.588378,1.588948,0.101434,5.366673,0.101434
sz.300943,春晖智控,2024-10-28,2024-09-30,0.740147,0.259853,0.680765,,0.095549,0.934858,0.095549
sz.300945,曼卡龙,2024-10-30,2024-09-30,0.875423,0.124577,0.880162,,0.035989,0.780990,0.035989
sz.300946,恒而达,2024-10-29,2024-09-30,0.500256,0.499744,0.742927,65.335109,-0.027139,-0.151307,-0.027139
sz.300947,德必集团,2024-10-29,2024-09-30,0.219240,0.780760,0.000366,1.324074,0.529920,16.769690,0.529920
sz.300948,冠中生态,2024-10-29,2024-09-30,0.853516,0.146484,0.508916,0.299762,-0.527889,,-0.527889
sz.300949,奥雅股份,2024-10-28,2024-09-30,0.725536,0.274464,0.525677,-46.800955,-0.074919,,-0.074919
sz.300950,德固特,2024-10-22,2024-09-30,0.579036,0.420964,0.618726,,-0.010677,-0.045781,-0.010677
sz.300951,博硕科技,2024-10-23,2024-09-30,0.794697,0.205303,0.723752,,0.162723,0.970332,0.162723
sz.300952,恒辉安防,2024-10-26,2024-09-30,0.531897,0.468103,0.409526,58.405720,-0.000586,-0.005065,-0.000586
sz.300953,震裕科技,2024-10-26,2024-09-30,0.559335,0.440665,0.188261,2.501117,-0.083502,-2.428837,-0.083502
sz.300955,嘉亨家化,2024-10-25,2024-09-30,0.342552,0.657448,0.462941,0.176038,0.030245,9.425876,0.030245
sz.300956,英力股份,2024-10-25,2024-09-30,0.504460,0.495540,0.453558,1.517569,0.175522,39.593133,0.175522
sz.300957,贝泰妮,2024-10-25,2024-09-30,0.713119,0.286881,0.637745,,0.001600,0.015896,0.001600
sz.300958,建工修复,2024-10-26,2024-09-30,0.890016,0.109984,0.427688,8.845805,-0.149095,-14.691853,-0.149095
sz.300959,线上线下,2024-10-30,2024-09-30,0.834475,0.165525,0.784973,,0.042296,2.988730,0.042296
sz.300960,通业科技,2024-10-28,2024-09-30,0.838906,0.161094,0.633442,,0.270125,2.248477,0.270125
sz.300961,深水海纳,2024-10-26,2024-09-30,0.313004,0.686996,-0.072887,0.821768,-0.040451,-15.819298,-0.040451
sz.300962,中金辐照,2024-10-28,2024-09-30,0.369555,0.630445,0.785522,,0.553471,1.508757,0.553471
sz.300963,中洲特材,2024-10-25,2024-09-30,0.593194,0.406806,0.558152,38.058008,-0.008168,-0.090564,-0.008168
sz.300964,本川智能,2024-10-26,2024-09-30,0.580499,0.419501,0.705947,,0.073509,1.488663,0.073509
sz.300965,*ST恒宇,2024-10-29,2024-09-30,0.889439,0.110561,0.851452,,-0.399876,-2.470371,-0.399876
sz.300966,共同药业,2024-10-24,2024-09-30,0.281146,0.718854,0.312919,-0.983133,0.255279,,0.255279
sz.300967,晓鸣股份,2024-10-18,2024-09-30,0.148416,0.851584,0.410990,0.672263,0.232325,,0.232325
sz.300968,格林精密,2024-10-29,2024-09-30,0.702212,0.297788,0.760683,,0.033863,0.673278,0.033863
sz.300969,恒帅股份,2024-10-30,2024-09-30,0.655450,0.344550,0.762712,,0.205730,0.885831,0.205730
sz.300970,华绿生物,2024-10-29,2024-09-30,0.243873,0.756127,0.616385,-12.306820,0.097154,,0.097154
sz.300971,博亚精工,2024-10-24,2024-09-30,0.631407,0.368593,0.727990,,0.132954,1.043402,0.132954
sz.300972,万辰集团,2024-10-29,2024-09-30,0.762630,0.237370,0.111935,20.826825,0.047178,2.821404,0.047178
sz.300973,立高食品,2024-10-30,2024-09-30,0.449790,0.550210,0.519416,35.774288,0.090857,1.232034,0.090857
sz.300975,商络电子,2024-10-25,2024-09-30,0.902180,0.097820,0.346671,4.040785,-0.128922,-12.007921,-0.128922
sz.300976,达瑞电子,2024-10-18,2024-09-30,0.669020,0.330980,0.782158,,0.045451,0.449790,0.045451
sz.300977,深圳瑞捷,2024-10-30,2024-09-30,0.735862,0.264138,0.871574,,-0.150653,-2.906574,-0.150653
sz.300978,东箭科技,2024-10-30,2024-09-30,0.614774,0.385226,0.478224,,0.124767,1.378897,0.124767
sz.300979,华利集团,2024-10-29,2024-09-30,0.684006,0.315994,0.704411,,0.242781,1.494993,0.242781
sz.300980,祥源新材,2024-10-28,2024-09-30,0.412202,0.587798,0.568023,23.194120,0.023748,0.377682,0.023748
sz.300981,中红医疗,2024-10-29,2024-09-30,0.616813,0.383187,0.689245,,0.007147,0.238953,0.007147
sz.300982,苏文电能,2024-10-30,2024-09-30,0.780066,0.219934,0.641375,,0.096599,2.250765,0.096599
sz.300983,尤安设计,2024-10-30,2024-09-30,0.643546,0.356454,0.942079,,0.015178,,0.015178
sz.300984,金沃股份,2024-10-30,2024-09-30,0.440277,0.559723,0.450291,3.612225,0.022817,0.898611,0.022817
sz.300985,致远新能,2024-10-30,2024-09-30,0.540351,0.459649,0.424109,4.977341,-0.336390,-6.895421,-0.336390
sz.300986,志特新材,2024-10-24,2024-09-30,0.497612,0.502388,0.216419,2.882701,0.000963,0.028658,0.000963
sz.300987,川网传媒,2024-10-29,2024-09-30,0.479979,0.520021,0.659888,,0.025288,0.404852,0.025288
sz.300988,津荣天宇,2024-10-29,2024-09-30,0.584427,0.415573,0.452788,8.613756,0.059354,1.777474,0.059354
sz.300989,蕾奥规划,2024-10-29,2024-09-30,0.732011,0.267989,0.762319,-18.509274,-0.643950,,-0.643950
sz.300990,同飞股份,2024-10-25,2024-09-30,0.641971,0.358029,0.731251,,0.096480,1.895400,0.096480
sz.300991,创益通,2024-10-25,2024-09-30,0.373196,0.626804,0.407260,0.539765,0.024278,,0.024278
sz.300992,泰福泵业,2024-10-26,2024-09-30,0.585609,0.414391,0.438369,1.783825,-0.013160,-0.348298,-0.013160
sz.300993,玉马科技,2024-10-30,2024-09-30,0.535198,0.464802,0.816027,,0.273404,1.175653,0.273404
sz.300994,久祺股份,2024-10-28,2024-09-30,0.833673,0.166327,0.507428,,0.046290,1.016278,0.046290
sz.300995,奇德新材,2024-10-30,2024-09-30,0.337122,0.662878,0.744301,,0.032147,1.473695,0.032147
sz.300996,普联软件,2024-10-24,2024-09-30,0.823287,0.176713,0.746998,,-0.419402,-21.692790,-0.419402
sz.300997,欢乐家,2024-10-29,2024-09-30,0.491676,0.508324,0.446552,95.668618,-0.130302,-2.084502,-0.130302
sz.300998,宁波方正,2024-10-30,2024-09-30,0.687517,0.312483,0.450613,-0.209817,0.054264,,0.054264
sz.300999,金龙鱼,2024-10-31,2024-09-30,0.611387,0.388613,0.320684,6.656490,0.071504,9.260304,0.071504
sz.301000,肇民科技,2024-10-28,2024-09-30,0.718040,0.281960,0.746867,,0.056253,0.282602,0.056253
sz.301001,凯淳股份,2024-10-25,2024-09-30,0.745759,0.254241,0.884051,,0.210036,13.340102,0.210036
sz.301002,崧盛股份,2024-10-29,2024-09-30,0.555137,0.444863,0.518479,1.899370,0.035391,4.593267,0.035391
sz.301003,江苏博云,2024-10-24,2024-09-30,0.727504,0.272496,0.933356,,0.171446,0.815034,0.171446
sz.301004,嘉益股份,2024-10-30,2024-09-30,0.619449,0.380551,0.677218,,0.150184,0.561481,0.150184
sz.301005,超捷股份,2024-10-28,2024-09-30,0.574933,0.425067,0.592244,8.654439,-0.030899,-0.662583,-0.030899
sz.301006,迈拓股份,2024-10-29,2024-09-30,0.755752,0.244248,0.815777,,-0.057067,-0.290831,-0.057067
sz.301007,德迈仕,2024-10-30,2024-09-30,0.455756,0.544244,0.573778,,0.115001,1.469636,0.115001
sz.301008,宏昌科技,2024-10-30,2024-09-30,0.744034,0.255966,0.513978,7.729684,0.045352,0.747648,0.045352
sz.301009,可靠股份,2024-10-25,2024-09-30,0.582686,0.417314,0.643718,,0.048116,1.727664,0.048116
sz.301010,晶雪节能,2024-10-24,2024-09-30,0.839063,0.160937,0.416699,15.609266,-0.103629,-3.150918,-0.103629
sz.301011,华立科技,2024-10-29,2024-09-30,0.613369,0.386631,0.482973,11.322265,0.225039,2.431483,0.225039
sz.301012,扬电科技,2024-10-29,2024-09-30,0.801310,0.198691,0.656148,,-0.035130,-0.587037,-0.035130
sz.301013,利和兴,2024-10-28,2024-09-30,0.493573,0.506427,0.485859,2.584216,0.034862,1.011896,0.034862
sz.301015,百洋医药,2024-10-26,2024-09-30,0.778802,0.221198,0.284915,16.733936,0.091542,0.814427,0.091542
sz.301016,雷尔伟,2024-10-25,2024-09-30,0.805843,0.194157,0.815714,151.093631,0.092106,0.477013,0.092106
