code(股票代码),stock_name(股票名称),pubDate(发布日期),statDate(统计截止日),roeAvg(平均净资产收益率),npMargin(净利率),gpMargin(毛利率),netProfit(净利润),epsTTM(每股收益(TTM)),MBRevenue(主营业务收入),totalShare(总股本),liqaShare(流通股本)
sh.600135,乐凯胶片,2023-10-27,2023-09-30,0.001306,0.003475,0.139381,5230692.52,0.013884,,553307099.0,553307099.0
sh.600136,ST明诚,2023-10-28,2023-09-30,,-5.210678,0.076001,-1960731802.32,-10.877885,,583093123.0,485356686.0
sh.600137,浪莎股份,2023-10-31,2023-09-30,0.021001,0.047909,0.178408,11014088.28,0.187746,,97217588.0,97217588.0
sh.600138,中青旅,2023-10-31,2023-09-30,0.033676,0.046108,0.2594,310516277.34,0.06032,,723840000.0,723840000.0
sh.600141,兴发集团,2023-10-28,2023-09-30,0.046128,0.044634,0.131438,978704908.11,1.686296,,1111675119.0,1106326119.0
sh.600143,金发科技,2023-10-25,2023-09-30,0.029281,0.011209,0.137216,384366338.01,0.476438,,2672009306.0,2573622343.0
sh.600148,长春一东,2023-10-27,2023-09-30,-0.024113,-0.008788,0.18292,-4553850.34,-0.098353,,141516450.0,141516450.0
sh.600149,廊坊发展,2023-10-28,2023-09-30,-0.077781,-0.134449,0.070664,-14729665.51,-0.024059,,380160000.0,380160000.0
sh.600150,中国船舶,2023-10-31,2023-09-30,0.054472,0.051631,0.110357,2563670287.79,0.283534,,4472428758.0,4472428758.0
sh.600151,航天机电,2023-10-31,2023-09-30,0.002136,0.001189,0.069807,9135108.0,-0.057955,,1434252287.0,1434252287.0
sh.600152,维科技术,2023-10-28,2023-09-30,-0.041993,-0.073981,0.060637,-86991533.46,-0.372869,,524904562.0,524904562.0
sh.600153,建发股份,2023-10-31,2023-09-30,0.196861,0.02512,0.030477,15039436106.82,5.002452,,3005171030.0,2844366082.0
sh.600155,华创云信,2023-10-31,2023-09-30,0.017022,0.16196,,338160817.06,0.231038,,2261423642.0,2261423642.0
sh.600156,华升股份,2023-10-27,2023-09-30,-0.051281,-0.065673,0.059274,-32050954.11,-0.122921,,402110702.0,402110702.0
sh.600157,永泰能源,2023-10-26,2023-09-30,0.036158,0.079029,0.276207,1736959523.08,0.089643,,22217764145.0,22217764145.0
sh.600158,中体产业,2023-10-30,2023-09-30,-0.015616,0.001767,0.249129,1754148.45,0.015688,,959513067.0,959513067.0
sh.600159,大龙地产,2023-10-31,2023-09-30,0.001691,0.010588,0.145668,5629527.66,-0.197952,,830003232.0,830003232.0
sh.600160,巨化股份,2023-10-27,2023-09-30,0.048209,0.047319,0.128716,757697260.73,0.529169,,2699746081.0,2699746081.0
sh.600161,天坛生物,2023-10-26,2023-09-30,0.096475,0.300253,0.496092,1207616323.66,0.70856,,1647809538.0,1647809538.0
sh.600162,香江控股,2023-10-31,2023-09-30,0.012132,0.011912,0.380939,29617256.82,0.055647,,3268438122.0,3268438122.0
sh.600163,中闽能源,2023-10-31,2023-09-30,0.065666,0.375134,0.530687,414684011.08,0.347329,,1902996143.0,1154161335.0
sh.600165,*ST宁科,2023-10-28,2023-09-30,-0.424151,-1.470162,-0.27862,-247882375.55,-0.496854,,684883775.0,684883775.0
sh.600166,福田汽车,2023-10-31,2023-09-30,0.05703,0.01757,0.120142,754507501.91,0.076589,,8003763475.0,6575192047.0
sh.600167,联美控股,2023-10-31,2023-09-30,0.061271,0.320441,0.389623,699974232.97,0.422023,,2288119475.0,2288119475.0
sh.600168,武汉控股,2023-10-27,2023-09-30,0.061935,0.138383,0.20255,323924131.57,0.322602,,709569692.0,709569692.0
sh.600169,太原重工,2023-10-28,2023-09-30,0.020182,0.022691,0.173576,150793660.39,0.06683,,3380982500.0,2563955000.0
sh.600170,上海建工,2023-10-31,2023-09-30,0.031219,0.00604,0.081666,1347164486.47,0.278769,,8885939744.0,8885939744.0
sh.600171,上海贝岭,2023-10-24,2023-09-30,-0.031773,-0.091327,0.303501,-130642516.09,-0.145073,,711810799.0,706130773.0
sh.600172,黄河旋风,2023-10-30,2023-09-30,-0.117833,-0.253476,0.160653,-366310106.33,-0.288455,,1442184476.0,1276255750.0
sh.600173,卧龙地产,2023-10-24,2023-09-30,0.062889,0.051552,0.089993,239933609.89,0.253451,,700506244.0,700416244.0
sh.600176,中国巨石,2023-10-24,2023-09-30,0.095621,0.242714,0.286655,2773124236.26,0.940919,,4003136728.0,4003136728.0
sh.600177,雅戈尔,2023-10-31,2023-09-30,0.0712,0.374013,0.534788,2789292015.17,0.770682,,4628802973.0,4628802973.0
