code(股票代码),stock_name(股票名称)
sh.603963,*ST大药
sh.603967,中创物流
sh.603969,银龙股份
sh.603977,国泰集团
sh.603978,深圳新星
sh.603979,金诚信
sh.603983,丸美生物
sh.603986,兆易创新
sh.603988,中电电机
sh.603989,艾华集团
sh.603991,至正股份
sh.603999,读者传媒
sh.605011,杭州热电
sh.605016,百龙创园
sh.605033,美邦股份
sh.605050,福然德
sh.605056,咸亨国际
sh.605058,澳弘电子
sh.605060,联德股份
sh.605068,明新旭腾
sh.605077,华康股份
sh.605080,浙江自然
sh.605086,龙高股份
sh.605088,冠盛股份
sh.605098,行动教育
sh.605100,华丰股份
sh.605116,奥锐特
sh.605117,德业股份
sh.605118,力鼎光电
sh.605123,派克新材
sh.605128,上海沿浦
sh.605151,西上海
sh.605155,西大门
sh.605158,华达新材
sh.605162,新中港
sh.605166,聚合顺
sh.605177,东亚药业
sh.605180,华生科技
sh.605183,确成股份
sh.605186,健麾信息
sh.605196,华通线缆
sh.605208,永茂泰
sh.605218,伟时电子
sh.605228,神通科技
sh.605258,协和电子
sh.605259,绿田机械
sh.605286,同力日升
sh.605288,凯迪股份
sh.605289,罗曼股份
sh.605299,舒华体育
sh.605305,中际联合
sh.605337,李子园
sh.605358,立昂微
sh.605365,立达信
sh.605366,宏柏新材
sh.605369,拱东医疗
sh.605378,野马电池
sh.605399,晨光新材
sh.605500,森林包装
sh.605507,国邦医药
sh.605555,德昌股份
sh.605577,龙版传媒
sh.605588,冠石科技
sh.605589,圣泉集团
sh.605598,上海港湾
sh.605599,菜百股份
sh.688001,华兴源创
sh.688004,博汇科技
sh.688005,容百科技
sh.688007,光峰科技
sh.688008,澜起科技
sh.688010,福光股份
sh.688012,中微公司
sh.688013,天臣医疗
sh.688015,交控科技
sh.688016,心脉医疗
sh.688018,乐鑫科技
sh.688019,安集科技
sh.688020,方邦股份
sh.688023,安恒信息
sh.688025,杰普特
sh.688026,洁特生物
sh.688027,国盾量子
sh.688028,沃尔德
sh.688029,南微医学
sh.688030,山石网科
sh.688031,星环科技
sh.688032,禾迈股份
sh.688035,德邦科技
sh.688037,芯源微
sh.688038,中科通达
sh.688041,海光信息
sh.688046,药康生物
sh.688048,长光华芯
sh.688049,炬芯科技
sh.688050,爱博医疗
sh.688052,纳芯微
sh.688053,思科瑞
sh.688057,金达莱
sh.688059,华锐精密
sh.688061,灿瑞科技
sh.688062,迈威生物
sh.688066,航天宏图
sh.688069,德林海
sh.688073,毕得医药
sh.688080,映翰通
sh.688081,兴图新科
sh.688082,盛美上海
sh.688084,晶品特装
sh.688085,三友医疗
sh.688087,英科再生
sh.688089,嘉必优
sh.688090,瑞松科技
sh.688092,爱科科技
sh.688095,福昕软件
sh.688096,京源环保
sh.688097,博众精工
sh.688098,申联生物
sh.688100,威胜信息
sh.688101,三达膜
sh.688103,国力股份
sh.688106,金宏气体
sh.688108,赛诺医疗
